Colonne1;Radio;A_su_evoluer;Proche_de_vos_preoccupations;Attachement;Age_X;Age_Y;CSP_X;CSP_Y;Sexe_X;Sexe_Y
dd;Fun Radio;81;48,3;72,6;13-25ans;77,2;CSP-;79,37;Femme;80,4
dd;France Inter;80,9;54,8;83,5;25-35ans;73,8;CSP+;77,25;Homme;72,8
;RTL2;80,8;52,5;75,2;35-50ans;80,5;Etudiants;77,55;;
dd;France Bleu;80,6;54,9;83,5;50-60ans;78,7;Retraites et inactifs;73,06;;
;NRJ;80,6;45,5;68,4;60 ans et plus;73;;;;
;Skryock;80,2;48,6;77,6;;;;;;
;Cherie FM;79,9;47,3;72,8;;;;;;
dd;M Radio;79,9;45,8;78,8;;;;;;
;RTL;79,7;51,5;71,6;;;;;;
;Virgin;79,6;45,8;71,6;;;;;;
;Nostalgie;79,3;45,8;71;;;;;;
;RFM;79,2;48,3;74,5;;;;;;
;Fance Culture;78,9;55,7;84,7;;;;;;
;Radio Classique;77,9;48,8;78,3;;;;;;
;Rires et Chansons;77,8;41,9;65,4;;;;;;
;France Musique;77,6;49,2;78,3;;;;;;
;France Info;77;47,4;79,6;;;;;;
;RMC;76,8;48,3;77,2;;;;;;
;Europe 1 ;76,4;52,5;77,6;;;;;;
